,Unnamed: 0,Depth,Test,size,Max_Features,Accuracy,Dataset Time,Training Time,Total Time
108,10,11,,0.25,1,0.5183287161218944,138.51449867599877,10.873110204993283,150.9337370549911
109,10,11,,0.25,11,0.6721502552332619,139.31497091500205,74.87783136899816,215.79304299998333
110,11,11,,0.25,21,0.7834873159348593,137.92134805300157,126.14225126901873,265.6544218469935
111,11,11,,0.25,31,0.8008788567981805,137.78037177899387,183.32032720500138,322.71027629298624
112,11,11,,0.25,41,0.8330452076065192,139.10388945098384,235.17872424601228,375.8987793919805
113,11,11,,0.25,51,0.8434497329270507,139.31482703299844,288.0708228450094,429.0101774949872
114,11,11,,0.25,61,0.8464112547428748,138.4007789379975,347.9202930050087,487.92453037400253
115,11,11,,0.25,71,0.8489111887446171,137.62209207899286,405.02129203599185,544.2171934419894
116,11,11,,0.25,81,0.8637059981616485,139.45671460501035,457.69747567799635,598.795604487008
117,11,11,,0.25,91,0.8698826350984334,138.21731506599465,517.4413936260098,657.2908381010056
118,11,11,,0.25,101,0.8582069433366959,137.7216165360005,576.8772308650077,716.1996099819952
119,11,11,,0.25,111,0.8656467469258812,137.2855965079798,633.8110559160123,772.6681746729882
120,12,11,,0.25,121,0.8750240993637768,138.51986641800613,673.3194366800018,813.4546705660177
121,12,11,,0.25,131,0.8748345043690846,137.2762761200138,736.6197050060146,875.5254026630138
122,12,11,,0.25,141,0.8726529619618042,139.11424256701142,796.2299631430069,936.9924482619972
123,12,11,,0.25,151,0.8792407880431956,138.19185322299018,853.9131174309877,993.710099253978
124,12,11,,0.25,161,0.8762968657627439,138.30018723200192,897.7268122149982,1037.6649067160033
125,12,11,,0.25,171,0.8771352436295682,138.04337781498907,970.0904072789999,1109.713207563007
126,12,11,,0.25,181,0.8807159490989438,138.2293489590229,1010.9689450440056,1150.8602415260102
127,12,11,,0.25,191,0.8781312173358623,137.68538061500294,1087.8009915620205,1227.0958276949825
128,12,21,,0.25,1,0.5373338143873002,138.5570634320029,18.720885971997628,158.9269770370156
129,12,21,,0.25,11,0.8024676148549679,139.46924365201266,112.7016549440159,254.0451342010056
130,13,21,,0.25,21,0.8702058265661786,137.82553800600002,201.68869760999226,341.3400931929937
131,13,21,,0.25,31,0.8873053751380964,138.4459003570082,271.2237623499823,411.5122460840212
132,13,21,,0.25,41,0.9013226050832258,137.74044087401126,348.81093589199014,488.4162461369997
133,13,21,,0.25,51,0.9084464170145908,137.62341617798666,438.3433974619838,577.8208887490036
134,13,21,,0.25,61,0.9111031468769224,138.4014218870143,519.3378518460086,659.6136539430007
135,13,3,,0.25,1,0.5622587563688318,258.51949260997935,4.370608786004596,264.39558037999086
136,13,3,,0.25,11,0.5783095326283386,137.04912424497886,21.996069647022523,160.56845501298085
137,13,3,,0.25,21,0.6305521534231496,136.35434535398963,40.04830476001371,177.9383426019922
138,13,3,,0.25,31,0.6638464744530744,135.84310123400064,58.00098935700954,195.3808004159946
139,13,3,,0.25,41,0.6706366951912469,135.78731504897587,75.7474644400063,213.0717522119812
140,14,3,,0.25,51,0.6184996716086695,134.54761988398968,94.38265798200158,230.45956498198208
141,14,3,,0.25,61,0.644770178067299,135.2422769270197,111.28337674698558,248.04053132000263
142,14,3,,0.25,71,0.6924337197497986,135.69501802299058,129.538983669976,266.7531693669734
143,14,3,,0.25,81,0.6850123156748662,135.27868944598595,147.84697985299863,284.6491663350025
144,14,3,,0.25,91,0.7066141453865618,135.5213934800122,164.9761852619995,302.03377365801134
145,14,3,,0.25,101,0.7017638734337414,135.7559152749891,182.80645696099964,320.10154887998937
146,14,3,,0.25,111,0.6938392826429383,135.62330310899415,202.80464923000545,339.97106619799166
147,14,3,,0.25,121,0.6870858609332714,135.62837597398902,219.1512571159983,356.3205581419752
148,14,3,,0.25,131,0.6990167459579067,135.35956130898558,236.58956726398898,373.46129784200457
149,14,3,,0.25,141,0.6870858609332714,135.57899814200934,255.2644468270009,392.3884017030068
150,15,3,,0.25,151,0.6967088068874981,136.02698698299358,271.1115745159914,408.6815739439917
151,15,3,,0.25,161,0.7017638734337414,135.2657056080061,288.5342306930106,425.3279333800019
152,15,3,,0.25,171,0.7017638734337414,136.53849582601106,308.6518033840112,446.7542400730017
153,15,3,,0.25,181,0.7017638734337414,136.31687572697408,326.8987013369915,464.75136491499137
154,15,3,,0.25,191,0.7017638734337414,134.7448695450148,342.48979629101814,478.7656335700012
155,15,13,,0.25,1,0.5804486761549495,136.48345813699416,12.310252480005147,150.41777194701714
156,15,13,,0.25,11,0.7161218943819884,136.23430047900186,84.43449914400117,222.29658200699487
157,15,13,,0.25,21,0.8126065471871543,136.30087741700115,140.6586392300087,278.6022546610038
158,15,13,,0.25,31,0.8463856554186969,134.82185100900824,201.1160748700204,337.5682821950177
159,15,13,,0.25,41,0.8531686763469445,135.33382396498928,263.7389279540221,400.70030398698873
160,16,13,,0.25,51,0.8765160599760167,136.29768515599426,321.24102251199656,459.2034522409958
161,16,13,,0.25,61,0.8813031335972731,135.58648742499642,383.28931665598077,520.4881477390009
162,16,13,,0.25,71,0.8795831790040743,136.16690845999986,451.71933997402084,589.5269601950131
163,16,13,,0.25,81,0.8831718842622555,135.45517974899852,504.48685781800316,641.5578905470029
164,16,13,,0.25,91,0.8876957648318085,136.27507997801877,574.1207672120072,712.0706985510187
165,16,13,,0.25,101,0.8916476605017628,136.04063076199964,630.4567132929807,768.1358612620097
166,16,13,,0.25,111,0.8958563493923759,136.24753714702092,697.1665267949866,835.0792992620262
167,16,13,,0.25,121,0.9013258049987478,136.10272947500928,747.0027245840173,884.7548826909915
168,16,13,,0.25,131,0.8940091981571686,136.44652820000192,823.6922097000061,961.7790656620056
169,16,13,,0.25,141,0.8993426573538459,134.87926023401087,865.872483745974,1002.3658759190002
